PERIODO,TIPO,VALOR
2000-2001,MATRÍCULA TOTAL,2197702
2000-2001,NUEVO INGRESO TOTAL,596885
2000-2001,EGRESADOS TOTAL,322064
2000-2001,TITULADOS TOTAL,189977
2001-2002,MATRÍCULA TOTAL,2288370
2001-2002,NUEVO INGRESO TOTAL,616486
2001-2002,EGRESADOS TOTAL,336223
2001-2002,TITULADOS TOTAL,189402
2002-2003,MATRÍCULA TOTAL,2391258
2002-2003,NUEVO INGRESO TOTAL,645159
2002-2003,EGRESADOS TOTAL,366705
2002-2003,TITULADOS TOTAL,211959
2003-2004,MATRÍCULA TOTAL,2476603
2003-2004,NUEVO INGRESO TOTAL,661423
2003-2004,EGRESADOS TOTAL,363994
2003-2004,TITULADOS TOTAL,228918
2004-2005,MATRÍCULA TOTAL,2538256
2004-2005,NUEVO INGRESO TOTAL,672091
2004-2005,EGRESADOS TOTAL,404148
2004-2005,TITULADOS TOTAL,262587
2005-2006,MATRÍCULA TOTAL,2613466
2005-2006,NUEVO INGRESO TOTAL,699258
2005-2006,EGRESADOS TOTAL,414490
2005-2006,TITULADOS TOTAL,264853
2006-2007,MATRÍCULA TOTAL,2709255
2006-2007,NUEVO INGRESO TOTAL,733466
2006-2007,EGRESADOS TOTAL,447370
2006-2007,TITULADOS TOTAL,293485
2007-2008,MATRÍCULA TOTAL,2814871
2007-2008,NUEVO INGRESO TOTAL,770886
2007-2008,EGRESADOS TOTAL,453977
2007-2008,TITULADOS TOTAL,312289
2008-2009,MATRÍCULA TOTAL,2931053
2008-2009,NUEVO INGRESO TOTAL,809159
2008-2009,EGRESADOS TOTAL,457424
2008-2009,TITULADOS TOTAL,317637
2009-2010,MATRÍCULA TOTAL,3107713
2009-2010,NUEVO INGRESO TOTAL,876472
2009-2010,EGRESADOS TOTAL,494902
2009-2010,TITULADOS TOTAL,351109
2010-2011,MATRÍCULA TOTAL,3322698
2010-2011,NUEVO INGRESO TOTAL,963100
2010-2011,EGRESADOS TOTAL,515669
2010-2011,TITULADOS TOTAL,380784
2011-2012,MATRÍCULA TOTAL,3550920
2011-2012,NUEVO INGRESO TOTAL,1023514
2011-2012,EGRESADOS TOTAL,555761
2011-2012,TITULADOS TOTAL,399057
2012-2013,MATRÍCULA TOTAL,3732653
2012-2013,NUEVO INGRESO TOTAL,1055167
2012-2013,EGRESADOS TOTAL,594601
2012-2013,TITULADOS TOTAL,426067
2013-2014,MATRÍCULA TOTAL,3882625
2013-2014,NUEVO INGRESO TOTAL,1041912
2013-2014,EGRESADOS TOTAL,638644
2013-2014,TITULADOS TOTAL,458250
2014-2015,MATRÍCULA TOTAL,4032992
2014-2015,NUEVO INGRESO TOTAL,1099503
2014-2015,EGRESADOS TOTAL,674634
2014-2015,TITULADOS TOTAL,483257
2015-2016,MATRÍCULA TOTAL,4244401
2015-2016,NUEVO INGRESO TOTAL,1178924
2015-2016,EGRESADOS TOTAL,715401
2015-2016,TITULADOS TOTAL,514445
2016-2017,MATRÍCULA TOTAL,4430248
2016-2017,NUEVO INGRESO TOTAL,1221739
2016-2017,EGRESADOS TOTAL,747942
2016-2017,TITULADOS TOTAL,545330
2017-2018,MATRÍCULA TOTAL,4561792
2017-2018,NUEVO INGRESO TOTAL,1248474
2017-2018,EGRESADOS TOTAL,784031
2017-2018,TITULADOS TOTAL,576056
2018-2019,MATRÍCULA TOTAL,4705400
2018-2019,NUEVO INGRESO TOTAL,1343962
2018-2019,EGRESADOS TOTAL,791966
2018-2019,TITULADOS TOTAL,600017
2019-2020,MATRÍCULA TOTAL,4931200
2019-2020,NUEVO INGRESO TOTAL,1409386
2019-2020,EGRESADOS TOTAL,826817
2019-2020,TITULADOS TOTAL,612814
2020-2021,MATRÍCULA TOTAL,4983204
2020-2021,NUEVO INGRESO TOTAL,1291677
2020-2021,EGRESADOS TOTAL,855731
2020-2021,TITULADOS TOTAL,525593
2021-2022,MATRÍCULA TOTAL,5068493
2021-2022,NUEVO INGRESO TOTAL,1357872
2021-2022,EGRESADOS TOTAL,892836
2021-2022,TITULADOS TOTAL,569063
2022-2023,MATRÍCULA TOTAL,5192618
2022-2023,NUEVO INGRESO TOTAL,1436015
2022-2023,EGRESADOS TOTAL,943323
2022-2023,TITULADOS TOTAL,699282
2023-2024,MATRÍCULA TOTAL,5393078
2023-2024,NUEVO INGRESO TOTAL,1437157
2023-2024,EGRESADOS TOTAL,982072
2023-2024,TITULADOS TOTAL,793387
2024-2025,MATRÍCULA TOTAL,5519791
2024-2025,NUEVO INGRESO TOTAL,1475911
2024-2025,EGRESADOS TOTAL,1009855
2024-2025,TITULADOS TOTAL,791224
