sinco11,descripcion_sinco,ciuo08,descripcion_ciuo
1,"Funcionarios, directores y jefes",,
11,"Funcionarios y altas autoridades de los sectores público, privado y social",,
111,"Funcionarios, legisladores y autoridades gubernamentales",,
1111,Altas autoridades gubernamentales y jurisdiccionales,1112,Personal directivo de la administración pública
1112,Legisladores,1111,Miembros del poder legislativo
1113,Presidentes y autoridades municipales,1113,Jefes de pequeñas poblaciones
112,Presidentes y directores generales,,
1121,Presidentes y directores generales en instituciones públicas,1112,Personal directivo de la administración pública
1122,Presidentes y directores generales en instituciones y empresas privadas,1120,Directores generales y gerentes generales
1129,"Otros presidentes y directores generales, no clasificados anteriormente",NA,No tiene correspondencia
113,"Directores de organizaciones políticas, sindicales y civiles",,
1131,Directores de organizaciones políticas,1114,Dirigentes de organizaciones que presentan un interés especial
1132,Directores de organizaciones sindicales,1114,Dirigentes de organizaciones que presentan un interés especial
1133,Directores de organizaciones empresariales,1114,Dirigentes de organizaciones que presentan un interés especial
1134,Directores de organizaciones agrarias,1114,Dirigentes de organizaciones que presentan un interés especial
1135,Directores de organizaciones civiles y religiosas,1114,Dirigentes de organizaciones que presentan un interés especial
12,"Directores y gerentes en servicios financieros, administrativos y sociales",,
121,Directores y gerentes en servicios financieros y administrativos,,
1211,"Directores y gerentes en administración, recursos humanos y mercadotecnia",1212,Directores de recursos humanos
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",1213,Directores de políticas y planificación 
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",1221,Directores de ventas y comercialización
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",1219,Directores de administración y servicios no clasificados bajo otros epígrafes
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",1211,Directores financieros
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",1346,"Gerentes de sucursales de bancos, de servicios financieros y de seguros"
1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",1219,Directores de administración y servicios no clasificados bajo otros epígrafes
122,"Directores y gerentes en servicios de salud, enseñanza y sociales",,
1221,"Directores y gerentes en servicios de salud, protección civil y medio ambiente",1342,Directores de servicios de salud
1221,"Directores y gerentes en servicios de salud, protección civil y medio ambiente",1349,Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes
1222,Directores y gerentes en desarrollo social y económico,1344,Directores  de servicios de bienestar social
1223,Directores y gerentes en centros de enseñanza y capacitación,1345,Directores de servicios de educación
1224,"Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia",2612,Jueces
1224,"Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia",1349,Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes
1225,Comandantes de las fuerzas armadas,0110,Oficiales de las fuerzas armadas
1226,Directores en servicios de vigilancia y seguridad,1439,Gerentes de servicios no clasificados bajo otros epígrafes 
13,"Directores y gerentes en producción, tecnología y transporte",,
